Gender,Sports,Music,Video Games,Red LED - Average (in ms),Red LED - Standard Deviation (in ms),Red LED - The number of trials (like 100),Buzzer - Average (in ms),Buzzer - Standard Deviation (in ms),Buzzer - The number of trials,2 color LED - Average (in ms),2 color LED - Standard Deviation (in ms),2 color LED - The number of trials,3 color LED - Average (in ms),3 color LED - Standard Deviation (in ms),3 color LED - The number of trials
1,2,4,0,230,34,60,230,23,23,0,0,0,0,0,0
2,2,5,0,266,75.5,100,223.27,71.78,50,0,0,0,289.39,99.84,104
1,4,1,0,204.7,37.8,102,177,53.9,100,344.2,102.5,100,486.4,151,100
1,3,4,0,188.1,53.7,105,174.7,47.6,128,338.4,111.3,104,439.2,115.1,120
2,3,4,0,202.73,38.41,100,171.2,35.69,100,430.5,100.01,100,485.93,129.93,100
1,1,1,0,236.08,74.39,128,259.46,95.96,118,434.19,138.72,100,514.01,141.55,108
1,3,4,0,189.73,35.35,100,173.58,47.12,107,336.14,80,102,443.5,124.47,152
2,1,3,0,331,93,168,252.6,63.9,113,418.5,83,130,489.3,73,103
1,2,4,0,234,39,102,192,42,100,327,95,114,467,134,177
1,3,3,0,217,51,129,182,52,101,454,143,144,585,251,223
2,2,3,0,202.4,38,89,189.9,40.7,97,442.5,90.8,182,475.5,89.8,169
2,1,1,0,233.4,53.5,131,216.3,43.5,131,474.7,164.6,135,556.7,162.3,110
1,3,1,0,239.118,52.921,127,211.231,67.418,108,363.603,84.422,111,451.26,147.5,119
2,1,2,0,216.44,60.64,100,183.875,79.413,104,396.438,109.887,105,551.571,174.659,105
1,4,4,0,219.64,28.14,98,206.52,31.18,95,308.24,71.41,118,470.43,117.08,163
2,1,3,0,206.0280374,37.31188529,107,180.3364486,28.6855149,107,336,91.62759773,120,394.85,102.1845267,120
2,1,2,0,203.1,59.8,100,173.4,44.9,100,374.7,114.3,100,465.3,98.9,100
1,1,3,0,205,37,51,186,33,51,313,76,133,396,92,133
1,5,2,0,206,21,51,182,24,52,339,84,106,438,109,112
1,2,1,0,197.62,37.457,100,182.96,61.98,100,353.94,71.55,116,493.094,115.69,127
1,1,5,0,217.4,64.5,150,174.5,63.2,150,350,120.9,120,452.1,177.8,120
2,1,1,0,293.49,120.47,55,182.05,46.8,60,360.77,100.61,100,463.59,148.34,102
2,1,1,0,226,68,98,218,104,105,736,594,139,638,291,163
1,1,5,0,207.54,112.63,105,194.99,54.99,113,372.64,125.06,0,430.69,157.72,202
1,3,3,0,222.931,43.06,130,182.888,40.263,161,364.533,104.324,152,423.487,115.115,136
1,3,5,0,218.4,54.1,131,226,52.9,152,301.4,90.1,105,383.3,108.3,137
1,4,4,0,191.586,34.034,116,188.914,44.574,104,331.871,103.29,140,410.505,146.667,194
1,2,1,0,236,75,55,209,71,70,386,138,111,543,196,116
2,3,4,0,240.37,45.8,100,221.01,40.56,100,407.01,96.35,100,468.84,95.61,100
1,1,1,0,249,27,115,192,26,115,397,100,109,546,122,114
1,2,4,0,250,42,69,238,38,54,351,81,102,437,115,109
2,1,1,0,228.89,52.4,100,184.6,41.1,100,390.66,126.88,100,444.22,135.82,100
1,2,1,0,206.47,47.09,67,246.87,72.56,65,359.71,89.82,156,449.73,116.55,140
2,3,2,0,221.5045045,43.93953131,111,196.3761468,36.05342341,109,405.4224138,75.81328906,116,488.8661417,85.56519488,127
1,1,1,0,224,26,50,183,30,50,338,84,100,409,120,100
1,5,1,0,213.04,53.02,106,193.55,55.06,107,495.54,329.55,102,546.47,217.08,143
2,3,4,0,229,50,50,222,60,50,423,124,100,615,200,100
1,4,1,0,253,62.3,75,180,31,75,305,72.5,100,334,93.7,100
1,1,1,0,199.7,43.7,102,186.8,38,108,299.5,77.9,101,427.9,110.5,191
1,3,1,0,203.7,57.8,100,196.3,53.6,50,392.4,124.7,100,576.4,206.3,100
2,5,1,0,191.6,20.01,105,168.5,31.76,103,384.5,118,107,484.2,139.3,105
1,2,1,0,249,34,59,210,36,65,373,92,100,483,158,100
1,2,2,0,203.48,38.83,128,183.29,44.41,55,400.38,158.07,120,500.12,128.96,115
1,5,3,0,207.08,30.4026,50,189.6792,53.4623,53.4623,387.6981,149.2969,106,493.8785,136.3403,107
2,2,1,0,202.53,50.49,100,183.81,32.09,100,299.16,84.95,100,374.67,114.54,100
1,4,3,0,235,79,55,200,47,55,337,64,110,445,104,110
1,3,1,0,226.09,61.69,122,211.15,65.48,116,359.77,86.99,91,467.49,145.43,102
1,4,4,0,222.64,58.74,104,197.62,54.83,100,384.7,83.55,104,607.7,294.4,105
2,3,2,0,155.28,39.52,100,131.52,32.58,100,365.73,107.09,100,528.19,197.06,100
2,2,1,0,500,416,174,407,192,101,495,284,160,545,227,285
1,1,3,0,236.9,54.2,119,217.8,58.4,131,314.4,91.1,116,385.1,104.6,158
2,1,1,0,252.7,81.1,100,249.9,67.2,100,134.7,461.5,100,647.1,230.3,100
1,2,5,0,238.867,32.226,60,212.883,40.138,60,602.7,119.692,100,703.204,135.65,103
1,1,1,0,228,52,105,212,66,106,400,123,121,474,132,112
1,5,1,0,191,27.4,142,169,27.9,106,297,136,161,364,131,188
1,4,1,0,214.18,45.01,61,195.23,41.28,60,405.79,111.73,104,500.39,149.03,108
1,3,3,0,190.56,38.07,70,182,52.16,100,354.32,97.76,100,506.73,227.5,100
1,5,3,0,213.25,24.94288476,100,190.15,23.42407949,100,363.51,67.77396181,100,470.09,92.02109486,100
2,1,1,0,235.7,60.95,108,188.5,45.91,113,330.1,71.01,108,529.7,130.8,102
1,2,4,0,234.6,90.9,100,201.6,78.1,100,327.15,108.2,100,457.9,316.9,100
1,3,1,0,206.5666667,36.32554962,68,181.05,42.24035393,62,414.1,145.1,40,302.9,86.8,42
1,4,5,0,250,25,65,190,20,60,380,58,103,586,106,108
2,2,5,0,191.627,30.717,75,165.44,34.476,75,274.286,71.547,112,299.418,81.084,110
2,1,1,0,197.829,27.532,111,146.296,40.437,134,313.582,108.025,146,380.459,105.079,136
2,2,3,0,236.9183673,52.89464695,147,230.3757576,60.17855769,165,330.2659574,88.6212567,134,374.8642857,97.0984192,114
2,1,2,0,287,80,52,256,68,72,392,112,116,474,126,110
1,2,2,0,206,47.6,100,164,52.5,100,314,95.8,100,371,102.7,100
1,3,2,0,204,42.7,85,171,44.4,85,309,68.6,117,370,70.5,117
2,1,1,0,193.286,31.726,119,171.99,33.914,104,452.486,129.305,109,477.811,119.753,161
1,4,2,0,231.9,62.8,54,182.1,61.3,52,366.5,84.9,111,476.4,121.2,104
2,1,3,0,219.409,48.748,110,210.05,91.316,100,362.4375,74.88,112,478.08,179.9885,86
1,3,1,0,192,43,100,176,57,100,426,123,100,542,142,100
1,2,1,0,162.45,39.533,150,222.92,18.072,100,308.61,82.84,150,359.98,107.989,200
1,3,1,0,234,41.6,50,197,59.4,50,387,173.9,100,566,166.8,100
2,3,1,0,213.455,58.062,143,184.565,65.986,205,381.63,125.51,100,460.66,106.03,100
